golongan,uraian,2018,2019,2020,2021,2022,hs
Industri Pengolahan,LEMAK & MINYAK HEWAN/NABATI,20348.1,17634.8,20716.4,32919.1,35204.4,15
Industri Pengolahan,BESI DAN BAJA,5756.5,7387.4,10861.6,20925.6,27823.6,72
Industri Pengolahan,MESIN/PERALATAN LISTRIK,8855.0,9012.2,9232.7,11775.9,14552.8,85
Industri Pengolahan,KENDARAAN DAN BAGIANNYA,7552.1,8188.0,6602.5,8636.1,10980.7,87
Industri Pengolahan,BERBAGAI PRODUK KIMIA,4924.9,4109.9,3795.9,6899.7,8698.8,38
Industri Pengolahan,ALAS KAKI,5110.0,4409.3,4804.5,6186.3,7742.2,64
Industri Pengolahan,MESIN-MESIN/PESAWAT MEKANIK,5866.6,5542.6,5204.4,6307.6,6954.8,84
Industri Pengolahan,KARET DAN BARANG DARI KARET,6364.6,6010.5,5605.6,7103.1,6383.0,40
Industri Pengolahan,PERHIAASAN/PERMATA,5562.7,6574.4,8184.3,5376.6,6251.0,71
Industri Pengolahan,NIKEL,790.5,813.2,808.4,1284.5,5977.7,75
Industri Pengolahan,PAKAIAN JADI BUKAN RAJUTAN,4495.4,4473.3,3633.8,4111.8,4901.2,62
Industri Pengolahan,KERTAS/KARTON,4477.1,4369.9,4192.6,4220.0,4807.4,48
Industri Pengolahan,BARANG-BARANG RAJUTAN,4067.8,3763.8,3350.1,4392.8,4679.5,61
Industri Pengolahan,"KAYU, BARANG DARI KAYU",4433.7,3837.8,3789.6,4924.9,4660.6,44
Industri Pengolahan,BAHAN KIMIA ORGANIK,2955.8,2730.2,2367.3,3697.2,4096.7,29
Industri Pengolahan,BUBUR KAYU/PULP,2649.5,2782.7,2536.0,3284.8,3701.5,47
Industri Pengolahan,IKAN DAN UDANG,2927.9,2958.3,3175.1,3374.1,3681.9,03
Industri Pengolahan,"PERABOT, PENERANGAN RUMAH",1797.3,2064.3,2287.5,3018.3,2938.9,94
Industri Pengolahan,PLASTIK DAN BARANG DARI PLASTIK,2588.8,2453.2,2601.8,2892.6,2913.0,39
Industri Pengolahan,TEMBAGA,1961.1,1844.0,1894.8,3049.8,2794.4,74
Industri Pengolahan,BAHAN KIMIA ANORGANIK,1142.5,1078.6,863.1,1530.1,2758.6,28
Industri Pengolahan,AMPAS/SISA INDUSTRI MAKANAN,801.7,802.3,983.4,1588.8,2591.8,23
Industri Pengolahan,TIMAH,1550.9,1282.7,1130.1,2441.8,2388.8,80
Industri Pengolahan,SERAT STAFEL BUATAN,2178.3,2263.1,1572.4,2257.4,2102.9,55
Industri Pengolahan,BENDA-BENDA DARI BESI DAN BAJA,1321.8,1258.4,1191.3,1603.3,1758.5,73
Industri Pengolahan,BERBAGAI MAKANAN OLAHAN,1184.9,1309.4,1274.1,1460.2,1584.6,21
Industri Pengolahan,DAGING DAN IKAN OLAHAN,1253.8,1225.6,1306.3,1557.2,1485.2,16
Industri Pengolahan,OLAHAN DARI TEPUNG,1016.3,1056.5,1150.0,1255.4,1407.6,19
Industri Pengolahan,SABUN DAN PREPARAT PEMBERSIH,1046.2,967.5,1070.6,1259.2,1360.4,34
Industri Pengolahan,BARANG-BARANG DARI KULIT,595.8,722.1,640.7,1010.3,1268.1,42
Industri Pengolahan,KAPAL LAUT,167,268.4,231,144.6,1253.6,89
Industri Pengolahan,TEMBAKAU,1135.7,1147.0,1087.0,1073.6,1220.2,24
Industri Pengolahan,KAKAO/COKLAT,1173.3,1118.1,1168.4,1150.5,1198.2,18
Industri Pengolahan,PUPUK,406,588.5,701.6,863.7,1177.8,31
Industri Pengolahan,ALUMINIUM,780,527,610.1,784.5,890.2,76
Industri Pengolahan,PERANGKAT OPTIK,589.2,648.4,635.8,725.9,836.6,90
Industri Pengolahan,"MINYAK ATSIRI, KOSMETIK WANGI-WANGIAN",779.2,773.4,784.9,880.9,827.8,33
Industri Pengolahan,PERANGKAT MUSIK,584.8,629,561.5,759.1,800.3,92
Industri Pengolahan,FILAMEN BUATAN,871.1,837.1,552.5,687.3,753.5,54
Industri Pengolahan,MAINAN,507.5,536.4,500.5,623.4,748.3,95
Industri Pengolahan,KAPAS,806.6,765.1,643.3,865,657.7,52
Industri Pengolahan,PRODUK INDUSTRI FARMASI,546.2,556.2,592.8,556.1,643.6,30
Industri Pengolahan,GULA DAN KEMBANG GULA,263.6,281.5,307.5,527,577.2,17
Industri Pengolahan,SARI BAHAN SAMAK & CELUP,546.3,530.3,395.3,494.9,493.4,32
Industri Pengolahan,BULU UNGGAS,423.3,401.9,390.6,424.3,437.1,67
Industri Pengolahan,OLAHAN DARI BUAH-BUAHAN/SAYURAN,249.5,258.8,332.6,405.2,428.8,20
Industri Pengolahan,BERBAGAI BARANG BUATAN PABRIK,403,405,361.8,388.5,406.4,96
Industri Pengolahan,BAHAN BAKAR MINERAL,638.5,586.1,796.6,1321.3,400.4,27
Industri Pengolahan,"GARAM, BELERANG, KAPUR",243,280.3,321.3,405.9,377.6,25
Industri Pengolahan,PRODUK KERAMIK,343.9,295.1,274.7,373.8,338.4,69
Industri Pengolahan,KACA & BARANG DARI KACA,303.2,283.2,278.3,309.7,335.3,70
Industri Pengolahan,"LAK, GETAH, DAN DAMAR",87.7,112,99.7,127.2,208.7,13
Industri Pengolahan,"KOPI, TEH, REMPAH-REMPAH",231.7,219.2,232,220.5,207,09
Industri Pengolahan,MINUMAN,227.9,171.2,132,174.2,190.2,22
Industri Pengolahan,BUAH-BUAHAN,240.9,180.9,248.7,294.1,186.7,08
Industri Pengolahan,KAIN DITENUN BERLAPIS,160.4,151.1,105.1,142.7,178.2,59
Industri Pengolahan,KAIN PERCA,219.4,183.7,314.1,189.1,164.6,63
Industri Pengolahan,LOGAM DASAR LAINNYA,14.9,11.8,8.6,54.6,161.5,81
Industri Pengolahan,"BENDA-BENDA DARI BATU, GIPS DAN SEMEN",146.4,153.5,131.7,163,158.7,68
Industri Pengolahan,"KAPAS GUMPALAN, TALI",170.6,164.4,164.7,168,158.6,56
Industri Pengolahan,KAIN RAJUTAN,104.3,107.2,119,120.2,130.6,60
Industri Pengolahan,JERAMI/BAHAN ANYAMAN,80.6,96.2,104.9,140.5,127.5,46
Industri Pengolahan,"PERKAKAS, PERANGKAT POTONG",97.7,90.5,90,110.4,115.8,82
Industri Pengolahan,BERBAGAI BARANG LOGAM DASAR,117.3,107.6,93.5,111.4,114.1,83
Industri Pengolahan,JANGAT DAN KULIT MERAH,83.3,84.1,61.7,86.5,106.8,41
Industri Pengolahan,HASIL PENGGILINGAN,62.2,58.8,96.5,206.8,98.7,11
Industri Pengolahan,KAPAL TERBANG DAN BAGIANNYA,136.5,130.9,46.5,90.3,93.8,88
Industri Pengolahan,TUTUP KEPALA,55.4,60.8,62.8,77.5,92,65
Industri Pengolahan,"BIJIH, KERAK,, DAN ABU LOGAM",20.8,40.9,42.2,66.1,75,26
Industri Pengolahan,"PEREKAT, ENZIM",57.5,55.7,57.1,61,66.9,35
Industri Pengolahan,"SUSU, MENTEGA, TELUR",41.5,50.1,54.7,61.8,63.9,04
Industri Pengolahan,PERMADANI,71.5,56.7,46.9,53.7,47.7,57
Industri Pengolahan,SENG,22.8,16.1,22,37.6,42.3,79
Industri Pengolahan,SAYURAN,33.2,38.8,49.2,44.7,42.1,07
Industri Pengolahan,KAIN TENUNAN KHUSUS,48.8,46.6,32.8,43.9,41.2,58
Industri Pengolahan,BIJI-BIJIAN BERMINYAK,38.1,29.7,36.9,43.3,35.2,12
Industri Pengolahan,BUKU DAN BARANG CETAKAN,35.2,32.5,37.1,58.5,33.5,49
Industri Pengolahan,"LONCENG, ARLOJI DAN BAGIANNYA",20.7,21.5,30.4,31.1,28.9,91
Industri Pengolahan,LOKOMOTIF DAN PERALATAN KERETA API,18.5,99.7,94.9,24,22.5,86
Industri Pengolahan,BARANG KIRIMAN,48,74.4,49.9,14.2,21.5,99
Industri Pengolahan,DAGING HEWAN,16,17.1,14.2,15.7,19.9,02
Industri Pengolahan,PRODUK HEWANI,11.6,15.4,10.3,15.1,17.2,05
Industri Pengolahan,TIMAH HITAM,22.6,21.4,9.6,10.8,13.3,78
Industri Pengolahan,SERAT TEKSTIL DAN BENANG KERTAS,12.2,14.2,11.2,12.3,8.4,53
Industri Pengolahan,BAHAN PELEDAK,11,8.5,8.9,8.4,7.3,36
Industri Pengolahan,HASIL KARYA SENI,5.6,5,6.4,6.7,6,97
Industri Pengolahan,SENJATA AMUNISI,0.8,0.7,0.3,1.4,3.3,93
Industri Pengolahan,PAYUNG,1.8,2,1.6,2.1,2.5,66
Industri Pengolahan,BARANG-BARANG FOTOGRAFI/SINEMATOGRAFI,1.2,1.1,1.5,1.2,1.6,37
Industri Pengolahan,GANDUM-GANDUMAN,1.5,0.5,0.6,2.1,1.4,10
Industri Pengolahan,KULIT BERBULU,0.3,0.5,0.3,0.5,1.4,43
Industri Pengolahan,"WOL, BULU HEWAN",0.7,1,0.8,0.8,0.7,51
Industri Pengolahan,SUTERA,0.7,1,0.2,0.1,0.2,50
Industri Pengolahan,GABUS DAN BARANG-BARANG GABUS,0.2,0.3,0.2,0,0.2,45
Industri Pengolahan,KOMPONEN KENDARAAN,0,0,0,0,0.1,98
Industri Pengolahan,BAHAN-BAHAN NABATI,0,0,0.1,0.2,0,14
Pertanian,"KOPI, TEH, REMPAH-REMPAH",1318.3,1399.7,1487.8,1491.4,1670.2,09
Pertanian,"SUSU, MENTEGA, TELUR",292.4,367,542.4,519.6,598.1,04
Pertanian,BUAH-BUAHAN,584.3,616.5,685.7,741.6,551,08
Pertanian,BIJI-BIJIAN BERMINYAK,300.5,295.1,270.1,303.6,521.9,12
Pertanian,BAHAN-BAHAN NABATI,162.9,204.4,316.6,417.5,495.8,14
Pertanian,IKAN DAN UDANG,291,310.5,338,333.3,333.9,03
Pertanian,TEMBAKAU,67.8,60.8,63.7,73.8,106.3,24
Pertanian,"LAK, GETAH, DAN DAMAR",54.4,48.2,44.5,66.7,66.8,13
Pertanian,BINATANG HIDUP,60.9,65.9,80.4,61.9,63.9,01
Pertanian,KAKAO/COKLAT,72.5,80.6,75.8,56.3,63.9,18
Pertanian,SAYURAN,71.9,82.6,116.8,81.9,57.3,07
Pertanian,PERHIAASAN/PERMATA,40.7,45.4,38.1,41,52.9,71
Pertanian,GANDUM-GANDUMAN,73.5,1.1,16.9,4.7,50.5,10
Pertanian,"POHON HIDUP, DAN BUNGA POTONG",18.6,17.8,18.5,24.2,22.3,06
Pertanian,PRODUK HEWANI,9.3,6.5,13.7,16.1,20.2,05
Pertanian,KAPAS,1.8,1.3,1.5,2.6,8.3,52
Pertanian,KARET DAN BARANG DARI KARET,9.6,8.5,8.2,5.5,5.7,40
Pertanian,"KAYU, BARANG DARI KAYU",0.5,0.4,0.2,0.2,0.2,44
Pertanian,"WOL, BULU HEWAN",0,0,0,0,0,51
Pertanian,GABUS DAN BARANG-BARANG GABUS,0,0,0,0,0,45
Pertanian,SERAT TEKSTIL DAN BENANG KERTAS,0,0,0,0,0,53
Pertanian,SUTERA,0,0,0,0,0,50
Pertambangan,BAHAN BAKAR MINERAL,23971.7,21730.1,16458.5,31509.9,54579.9,27
Pertambangan,"BIJIH, KERAK,, DAN ABU LOGAM",5234.1,3085.7,3192.9,6285.0,10225.0,26
Pertambangan,"GARAM, BELERANG, KAPUR",80.2,81.1,78.3,113.2,107.9,25
Pertambangan,PERHIAASAN/PERMATA,0,0,0.1,0.2,0.1,71
Lainnya,KARET DAN BARANG DARI KARET,5.8,6.6,5,7.4,6.5,40
Lainnya,"BIJIH, KERAK,, DAN ABU LOGAM",0,0,0,0,0,26
Lainnya,BAHAN BAKAR MINERAL,0,0,0,0,0,27
Lainnya,KAPAL LAUT,0,0,0,0,0,89