kode_hs,uraian,2018,2019,2020,2021,2022
27,MESIN-MESIN/PESAWAT MEKANIK,24610.2,22316.2,17255.1,32831.2,54980.3
15,MESIN/PERALATAN LISTRIK,20348.1,17634.8,20716.4,32919.1,35204.4
72,BESI DAN BAJA,5756.5,7387.4,10861.6,20925.6,27823.6
85,PLASTIK DAN BARANG DARI PLASTIK,8855.0,9012.2,9232.7,11775.9,14552.8
87,KENDARAAN DAN BAGIANNYA,7552.1,8188.0,6602.5,8636.1,10980.7
26,BAHAN KIMIA ORGANIK,5254.9,3126.6,3235.1,6351.1,10299.9
38,AMPAS/SISA INDUSTRI MAKANAN,4924.9,4109.9,3795.9,6899.7,8698.8
64,BAHAN BAKAR MINERAL,5110.0,4409.3,4804.5,6186.3,7742.2
84,GANDUM-GANDUMAN,5866.6,5542.6,5204.4,6307.6,6954.8
40,BENDA-BENDA DARI BESI DAN BAJA,6380.1,6025.6,5618.8,7116.0,6395.2
71,BERBAGAI PRODUK KIMIA,5603.3,6619.8,8222.5,5417.7,6304.0
75,PERHIAASAN/PERMATA,790.5,813.2,808.4,1284.5,5977.7
62,PUPUK,4495.4,4473.3,3633.8,4111.8,4901.2
48,PERANGKAT OPTIK,4477.1,4369.9,4192.6,4220.0,4807.4
61,GULA DAN KEMBANG GULA,4067.8,3763.8,3350.1,4392.8,4679.5
44,KARET DAN BARANG DARI KARET,4434.2,3838.2,3789.8,4925.2,4660.8
29,BAHAN KIMIA ANORGANIK,2955.8,2730.2,2367.3,3697.2,4096.7
3,ALUMINIUM,3219.0,3268.8,3513.1,3707.4,4015.8
47,KAPAS,2649.5,2782.7,2536.0,3284.8,3701.5
94,BIJI-BIJIAN BERMINYAK,1797.3,2064.3,2287.5,3018.3,2938.9
39,BUBUR KAYU/PULP,2588.8,1.2,2601.8,2892.6,2913.0
74,"SUSU, MENTEGA, TELUR",1961.1,1844.0,1894.8,3049.8,2794.4
28,KAIN RAJUTAN,1142.5,1078.6,863.1,1530.1,2758.6
23,FILAMEN BUATAN,801.7,802.3,983.4,1588.8,2591.8
80,"PERABOT, PENERANGAN RUMAH",1550.9,1282.7,1130.1,2441.8,2388.8
55,KERTAS/KARTON,2178.3,2263.1,1572.4,2257.4,2102.9
9,"GARAM, BELERANG, KAPUR",1550.0,1618.9,1719.8,1711.9,1877.3
73,SARI BAHAN SAMAK & CELUP,1321.8,1258.4,1191.3,1603.3,1758.5
21,PRODUK INDUSTRI FARMASI,1184.9,1309.4,1274.1,1460.2,1584.6
16,BUAH-BUAHAN,1253.8,1225.6,1306.3,1557.2,1485.2
19,TEMBAGA,1016.3,1056.5,1150.0,1255.4,1407.6
34,"BIJIH, KERAK,, DAN ABU LOGAM",1046.2,967.5,1070.6,1259.2,1360.4
24,"MINYAK ATSIRI, KOSMETIK WANGI-WANGIAN",1203.5,1207.8,1150.6,1147.5,1326.5
42,BERBAGAI MAKANAN OLAHAN,595.8,722.1,640.7,1010.3,1268.1
18,SERAT STAFEL BUATAN,1245.8,1198.7,1244.2,1206.8,1262.1
89,DAGING HEWAN,167,268.4,231,144.6,01.06
31,BERBAGAI BARANG LOGAM DASAR,406,588.5,701.6,863.7,1177.8
76,ALAS KAKI,780,527,610.1,784.5,890.2
90,KOMPONEN KENDARAAN,589.2,648.4,635.8,725.9,836.6
33,SAYURAN,779.2,773.4,784.9,880.9,827.8
92,PRODUK KERAMIK,584.8,629,561.5,759.1,800.3
54,KAKAO/COKLAT,871.1,837.1,552.5,687.3,753.5
95,TEMBAKAU,507.5,536.4,500.5,623.4,748.3
8,KAPAL LAUT,825.2,797.4,934.3,1035.8,737.7
52,KAIN DITENUN BERLAPIS,808.4,766.4,644.8,867.7,666
4,"PERKAKAS, PERANGKAT POTONG",333.8,417.1,597.1,581.4,661.9
30,"PEREKAT, ENZIM",546.2,556.2,592.8,556.1,643.6
17,SABUN DAN PREPARAT PEMBERSIH,263.6,281.5,307.5,527,577.2
12,BERBAGAI BARANG BUATAN PABRIK,338.6,324.8,307,346.9,557
14,"KAPAS GUMPALAN, TALI",163,204.4,316.7,417.7,495.8
32,LOKOMOTIF DAN PERALATAN KERETA API,546.3,530.3,395.3,494.9,493.4
25,JANGAT DAN KULIT MERAH,323.2,361.5,399.6,519.2,485.6
67,OLAHAN DARI TEPUNG,423.3,401.9,390.6,424.3,437.1
20,"BENDA-BENDA DARI BATU, GIPS DAN SEMEN",249.5,258.8,332.6,405.2,428.8
96,"KAYU, BARANG DARI KAYU",403,405,361.8,388.5,406.4
69,IKAN DAN UDANG,343.9,295.1,274.7,373.8,338.4
70,KACA & BARANG DARI KACA,303.2,283.2,278.3,309.7,335.3
13,BINATANG HIDUP,142.1,160.2,144.2,193.9,275.5
22,BARANG-BARANG DARI KULIT,227.9,171.2,132,174.2,190.2
59,"KOPI, TEH, REMPAH-REMPAH",160.4,151.1,105.1,142.7,178.2
63,SENG,219.4,183.7,314.1,189.1,164.6
81,MAINAN,14.9,11.8,8.6,54.6,161.5
68,HASIL PENGGILINGAN,146.4,153.5,131.7,163,158.7
56,LEMAK & MINYAK HEWAN/NABATI,170.6,164.4,164.7,168,158.6
60,KAIN TENUNAN KHUSUS,104.3,107.2,119,120.2,130.6
46,"LONCENG, ARLOJI DAN BAGIANNYA",80.6,96.2,104.9,140.5,127.5
82,KAPAL TERBANG DAN BAGIANNYA,97.7,90.5,90,110.4,115.8
83,PAKAIAN JADI BUKAN RAJUTAN,117.3,107.6,93.5,111.4,114.1
41,OLAHAN DARI BUAH-BUAHAN/SAYURAN,83.3,84.1,61.7,86.5,106.8
7,BARANG-BARANG RAJUTAN,105.1,121.4,166,126.6,99.4
11,KAIN PERCA,62.2,58.8,96.5,206.8,98.7
88,SENJATA AMUNISI,136.5,130.9,46.5,90.3,93.8
65,MINUMAN,55.4,60.8,62.8,77.5,92
35,BUKU DAN BARANG CETAKAN,57.5,55.7,57.1,61,66.9
1,PERANGKAT MUSIK,60.9,65.9,80.4,61.9,63.9
10,PRODUK HEWANI,75,1.6,17.5,6.8,51.9
57,BARANG KIRIMAN,71.5,56.7,46.9,53.7,47.7
79,"WOL, BULU HEWAN",22.8,16.1,22,37.6,42.3
58,SERAT TEKSTIL DAN BENANG KERTAS,48.8,46.6,32.8,43.9,41.2
5,TIMAH HITAM,20.9,21.9,24.1,31.2,37.4
49,"LAK, GETAH, DAN DAMAR",35.2,32.5,37.1,58.5,33.5
91,BAHAN PELEDAK,20.7,21.5,30.4,31.1,28.9
86,LOGAM DASAR LAINNYA,18.5,99.7,94.9,24,22.5
6,NIKEL,18.6,17.8,18.5,24.2,22.3
99,DAGING DAN IKAN OLAHAN,48,74.4,49.9,14.2,21.5
2,BARANG-BARANG FOTOGRAFI/SINEMATOGRAFI,16,17.1,14.2,15.7,19.9
78,BULU UNGGAS,22.6,21.4,9.6,10.8,13.3
53,TUTUP KEPALA,12.2,14.2,11.2,12.3,8.4
36,TIMAH,11,8.5,8.9,8.4,7.3
97,PAYUNG,5.6,5,6.4,6.7,6
93,PERMADANI,0.8,0.7,0.3,1.4,3.3
66,"POHON HIDUP, DAN BUNGA POTONG",1.8,2,1.6,2.1,2.5
37,GABUS DAN BARANG-BARANG GABUS,1.2,1.1,1.5,1.2,1.6
43,KULIT BERBULU,0.3,0.5,0.3,0.5,1.4
51,HASIL KARYA SENI,0.7,1,0.8,0.8,0.7
50,SUTERA,0.7,1,0.2,0.1,0.2
45,BAHAN-BAHAN NABATI,0.2,0.3,0.2,0,0.2
98,JERAMI/BAHAN ANYAMAN,0,0,0,0,0.1