Uraian,2018,2019,2020,2021,2022
,,,,,
REP.RAKYAT CINA,45251.1,44601.0,39353.3,55734.2,67157.1
JEPANG,17943.6,15624.7,10629.1,14605.8,17078.0
THAILAND,10851.9,9420.5,6451.0,9083.2,10849.3
KOREA SELATAN,7715.6,7274.5,6462.9,8920.9,9923.7
AMERIKA SERIKAT,9108.0,8101.8,7488.9,8677.1,9315.7
AUSTRALIA,5160.7,4673.7,4147.9,8472.0,9228.7
SINGAPURA,9581.7,9469.5,8119.8,8762.9,9026.3
INDIA,4903.0,4083.9,3725.2,6782.0,7142.7
MALAYSIA,6167.0,5837.1,4822.4,5679.1,6262.4
VIETNAM,3793.2,3801.8,3117.7,4180.8,4806.2
TAIWAN,3541.6,3671.5,3551.3,4271.3,4382.5
BRASILIA,1792.7,1940.4,2560.8,2606.2,3900.0
JERMAN,3961.3,3465.4,3014.1,3177.5,3810.2
KANADA,1839.7,1838.1,1615.1,2053.2,2998.0
HONGKONG,2590.9,3222.0,2744.0,2874.7,2970.4
ARGENTINA,1441.6,1806.9,1742.5,2016.7,2388.3
REP.AFRIKA SELATAN,1067.2,814.6,687.5,1833.1,2162.0
FEDERASI RUSIA,1551.1,1204.2,935.2,1208.9,2137.3
PILIPINA,934.4,820.7,592,1273.3,1493.8
ITALIA,1839.7,1776.3,1555.9,1727.8,1486.0
OMAN,348.9,447.7,335.7,513.8,1360.0
SELANDIA BARU,808.4,754.6,757,959.4,1346.6
PERANCIS,1648.9,1418.3,1354.4,1271.0,1324.7
INGGRIS,1211.4,1047.6,942.5,1089.3,1038.6
SAUDI ARABIA,1259.4,733.7,516.2,809.3,911.3
SWISS,874.1,632.9,675.1,677.7,868.5
UNI EMIRAT ARAB,724.6,842.6,549.7,766,861.1
BELANDA,1191.0,830.6,802.7,844.3,851.7
BELGIA,580.1,544.1,446.3,755.1,632.7
SWEDIA,702.3,561.3,434.2,559.9,619.9
KAZAKHSTAN,26.7,141.8,130.1,277.9,585.5
SPANYOL,679.9,613.3,455,682.2,584.4
FINLANDIA,663.3,506.8,334.3,390.4,494.7
TURKI,358.3,342.2,274.1,400.1,452.7
YORDANIA,190.8,176.9,167.3,219,391.3
AUSTRIA,382,255.1,289.1,357.6,361.4
MEKSIKO,287.3,265.6,269.4,307.3,338.2
QATAR,122.9,128.4,138.4,189.2,270.4
POLANDIA,178,224.4,285.3,192.8,238.1
DENMARK,202.5,204.8,161.6,205.3,237
CHILI,115.1,149.1,108.9,165.2,229.3
MESIR,138.7,135.3,128.3,212.1,226
MADAGASCAR,87.5,32.8,26,45.5,218.5
PAKISTAN,641.4,378,194.9,185,188.1
PANTAI GADING,135.9,146.1,153.1,236.5,171.8
REPUBLIK CZECH,151,191.5,268.9,139.3,171.7
HONGARIA,74.1,99,130.9,104.6,167.7
LAOS,25.7,31.1,42.3,38,167.6
IRLANDIA,160.3,149.3,133.5,136.6,165.1
EKUADOR,151,165,202.8,165.8,163.2
NORWEGIA,106.1,164.3,151.1,223.4,146.5
NIGERIA,76.6,65.8,50.1,80.3,122.2
BULGARIA,68.8,97.8,62.2,89.3,120.1
MAROKO,90.8,86.1,57.6,91.5,114.4
UKRAINE,822.8,1008.2,963.1,1040.9,113.4
PERU,56.5,68.5,76,84.2,111.8
BURMA,151.6,182.7,187.2,165.9,111.2
BANGLA DESH,89.5,96.1,76.6,108.1,110.1
YUNANI,90.7,100.4,59.7,64.4,94.5
BELARUS,217.6,207.2,158.2,282.3,89.9
BRUNAI DARUSSALAM,20.1,30.6,28.7,77.6,76.5
PUERTO RICO,36.1,57.3,61.4,58.3,67.6
KEP. MARSHALL,57.1,118.1,52,4.3,63.7
TANZANIA,71.5,18.3,16.7,59.6,63.5
KAMBOJA,33,42.6,47.4,49.3,62.6
INDONESIA (BATAM),35.3,96.6,47.4,59.3,62.6
ZIMBABWE,147,67.6,57.6,80.6,61.3
BAHRAIN,69.9,27.6,21.1,47.3,58.1
PARAGUAY,91.6,28.1,16.8,31.1,56.4
SRI LANGKA,42.9,40.3,26.6,53.3,50.4
UZBEKISTAN,55.8,22.5,18.8,12.6,48.9
KOLUMBIA,18,12.8,8.8,29.1,48
ISRAEL,46.6,25.3,56.5,26.5,47.7
MOZAMBIK,30.5,19.6,10.3,10.9,46.7
TUNISIA,29.2,27.5,31.1,36.2,45.7
LITHUANIA,30.2,46.3,28.3,28.9,42
KUWAIT,52.5,29.7,55.7,35.2,41.2
LIBERIA,0.9,16.8,34.8,3.2,37.8
PORTUGAL,40.9,45.2,65.8,35.1,37.8
RUMANIA,37.4,24.2,44.4,40.1,37.5
SUDAN,47,110.8,27.8,16.2,36.4
SLOVENIA,17.3,21.5,27.9,24,34
ESTONIA,28.5,24.4,20.4,58.1,33.1
PAPUA NUGINI,43.3,20.5,33.4,40.8,32.7
KENYA,15.4,25.3,26.7,19.4,32
GUINEA,1.5,1.3,0.5,4.9,29.2
SLOVAKIA,19.1,22.4,18.8,18.3,26.3
ETHIOPIA,37.4,28.1,24.5,25.7,24.1
URUGUAY,9.2,20.1,10.7,13.6,23.5
KAMERUN,71,77.7,33.5,37,22.8
LATVIA,20,31.2,22,21.6,19.5
REPUBLIK DOMINICAN,14.7,28.6,20.4,26.2,16.9
GHANA,17.9,64.7,19.2,49.3,16.9
C H A D,2.3,0,2.8,2.2,16.6
LUKSEMBURG,21.2,14.9,17,22,15.6
KALEDONIA BARU,0.9,0.2,0,0.1,14.6
DEM. REP OF CONGO,7.7,6.4,10.8,23.8,13.4
SEYCHELLES,10,18.5,25.2,12,13.3
SIPRUS,9.1,52.9,42.7,18.9,13.2
CROATIA,39.3,8.1,9.2,7.5,12.6
BOLIVIA,1.9,2.6,2.4,8.9,12.5
MOLDOVA,13.8,32.5,15.3,20.4,12.3
IRAN,55.1,8.6,8.4,17.8,12.1
GABON,0.5,1.9,1.8,1,11.9
VENEZUELA,10.5,6,11.4,13.8,11
KIRIBATI,0,1,0.1,11.6,10.5
MONTENEGRO,3.8,0.3,0.1,2.7,9.5
ZAMBIA,2.4,7,4,6.9,8.5
COSTA RICA,3.2,3.6,5.5,7.5,8.4
MALI,10.1,12.1,3.1,20.3,8.2
ICELAND,6.6,7.3,3.1,7.8,8.1
T O G O,13.2,5.4,0.6,6.5,7.6
BENIN,5.2,5.5,0.9,12.3,6.8
UGANDA,13.6,4.7,5,11.8,6
ANGOLA,1.2,1.8,2.9,4.2,5.9
PANAMA,42.2,28.8,33.8,82.3,5.7
REPUBLIK KOMORO,4,0.2,0,0,5.5
MALAWI,14.6,5,8.1,7.2,5.5
BURKINA FASO,16.2,8.5,1.1,8.1,4.9
TIMOR TIMUR,3.7,6.6,2.5,2.3,4.7
MACAU,8.8,4.7,9.2,8.9,4.7
KONGO,6.5,8.8,1.4,10,4.5
SERBIA,37.3,11,16.5,15.7,4.2
NAMIBIA,12.9,9.2,5.3,1.8,3.3
KEPULAUAN CHRISTMAS,4.7,3.5,3.2,1,3
ALJAZAIR,2.8,1.3,3,1.7,2.7
MONGOLIA,6.8,0,1.1,2.1,2.4
MAURITIUS,4.1,4.2,3.3,3.2,2.4
REP.AFRIKA TENGAH,0.7,0.5,0.1,0.2,2.2
SAMOA,1.1,2.9,4.9,0.4,2.2
SIERA LEONE,1.1,1.6,3.1,2.4,2.1
LIBANON,6.4,2.8,1.9,1.7,1.9
KEPULAUAN SALOMON,2.6,2.6,0.3,1.5,1.9
REPUBLIK MACEDONIA,7,2.8,6.1,13.5,1.8
SWAZILAND,2.2,3.5,1.6,1.1,1.8
BHUTAN,0,0,0,0,1.7
GEORGIA,0.7,5.6,4.5,0.4,1.6
EL SALVADOR,1.1,0.9,1,1.5,1.6
LIECHTENSTIN,2.1,0.4,0.8,5,1.4
MAYOTTE,0.1,0.3,0.3,1.3,1.3
PALESTINA,0.7,1.4,1.7,1.2,1.3
YAMAN,0.8,1.4,1.9,0.7,1.2
BOSNIA-HERCEGOVINA,0.8,1,1,1.2,1.2
KUBA,1,0.4,0.8,0.8,1
MALTA,5,10.8,1,1.4,1
GREENLAND,0,0.3,0.1,0.1,0.9
VIRGIN ISLAND,2,9.3,1.2,8.1,0.9
SINEGAL,2.3,2.9,6.5,0.3,0.8
GUATEMALA,0.9,1.2,15,0.9,0.8
KOREA UTARA,0.8,3.1,0.8,0.4,0.8
NEPAL,0.2,0.2,0.2,0.4,0.8
FIJI,0.9,0.9,0.6,0.6,0.7
MAURITANIA,0.7,0.1,2,0.5,0.7
LIBIA,0.1,0.2,0.7,10.5,0.7
IRAK,0.1,0.2,0.3,0.1,0.7
REPUBLIK MALADEWA,1.2,0.1,0.5,0.6,0.6
AZERBAIJAN,0.2,0,0.5,0.3,0.6
ANDORRA,0,0,0,0.1,0.6
MONACO,0.5,0.5,0.5,1.1,0.6
HAITI,0.3,0.3,0.1,0.1,0.5
CAPE VERDE,0.1,0,0.1,0.1,0.5
NETHERLANDS ANTILLES,0.1,0.5,0,1.9,0.5
SAMOA AMERIKA,12.8,0.7,0.6,0.4,0.5
REUNION,3.2,9.4,1.1,0.3,0.4
KYRGYZSTAN,15.7,0.1,0.2,1.4,0.4
GUYANA,0,0,0,0,0.4
HONDURAS,2.1,1.4,0.6,0.5,0.4
AFGANISTAN,0.5,0.2,0.5,0.2,0.4
ALBANIA,0.3,0.5,0.1,5.3,0.3
NIKARAGUA,0.5,0.2,0.1,0,0.2
ANTIGUA DAN BARBUDA,0,0,0,0.8,0.2
RWANDA,0.1,0.1,0.1,0,0.2
NIGER,0.2,0.1,0.1,0.1,0.2
BARBADOS,0.2,0.2,0.1,0.3,0.2
JAMAICA,0.3,0.2,0,0,0.1
SIRIA,0.2,0,0.4,0,0.1
BELIZE,0.9,0.1,0.1,0.1,0.1
NAURU,0.1,0,0,0,0.1
COCOS (KILLING) ILND,0.1,0,0,0.2,0.1
KEPULAUAN FAEROE,0,0,0,0,0.1
SAN MARINO,0,0.2,0.4,0,0.1
KEPULAUAN CAYMAN,0,0.1,0,0,0.1
BURUNDI,0,0,0,0,0.1
ARMENIA,0.5,0,0.9,1,0.1
SOMALIA,0,0,0,0,0.1
TOKELAU,1.5,0.7,0,0.1,0.1
BOTSWANA,0,0.1,0,0.1,0.1
KURASAO,0,0,0,0,0.1
TRINIDAD & TOBAGO,0.1,1,0,0.1,0
GAMBIA,0.1,0,0,0,0
GUIANA PERANCIS,0.3,0,0,0,0
SAINT BARTHELEMY,0.1,0.3,0.1,0,0
POLYNESIA PERANCIS,0.1,0,0,0,0
SURINAME,0.2,0.9,0.2,0.1,0
SVALBARD AND JAN MAYEN,0,0,0,0,0
SAHARA BARAT,0,0,0,0,0
DOMINICA,9.4,0,0,0,0
ST VINCENT&GRENADINES,0.2,0.4,0.8,0,0
ANGUILA,0.9,0.2,0.4,0,0
KOSOVO,0,0,0,0,0
SAO TOME & PRINCIPE,0,0,0,0,0
GUERNSEY,0,0,0,0,0
KEP. COOK,0.2,0.3,0.3,0.5,0
KEPULAUAN NORFOLK,0,0.1,0,0,0
KEP. TURKS & CAICOS,0,0,0,0,0
ST. KITTS-NEVIS,0,0,0,0,0
ERITREA,0,0,0,0,0
US MINOR OUTLYING,0,0,1,0,0
ST. HELENA,0.1,0,0.1,0.3,0
ISLE OF MAN,0,0,2.6,0,0
PALAU,0,0,0.1,0,0
DJIBOUTI,0,0.1,1.1,0,0
ANTARTICA,1,0,0,0,0
NIUE,129.2,58.8,77.3,3.5,0
ARUBA,0,0.1,0,0,0
MONTSERRAT,0,0,0,0,0
MARTINIQUE,0.3,0,0,0,0
FD STS MICRONESIA,0,3.9,0,0,0
TONGA,0,0,0.1,0,0
LESOTHO,0.7,0.4,0.2,0,0
TAJIKISTAN,0,0,0,0,0
TURKMENISTAN,0.5,0.1,0,0,0
PITCAIRN,0,0,0,0,0
GRENADA,0.1,0,0.1,0,0
FRENCH SOUTHERN TERRITORIES,0,0,0,0,0
BAHAMA,0,0.2,4.9,0,0
JERSEY,0,0,0,0,0
MARIANAS UTARA,0,0,0,0,0
GUAM,0,0,0,0,0
GIBRALTAR,0,0,0,0,0
BRITISH INDIAN OCEAN TERRITORY,0,0,0,0,0
GUENIA BISSAU,0,0,0,0,0
GUINEA (EQUATORIAL),0,0,0,0,0
VANUATU,0.7,0.7,14.2,0.2,0
VATIKAN CITY STATE,0,0,0,0,0
SOUTH GEORGIA & THE SOUTH SA,0,0,0,0.2,0
OSEANIA LAINNYA,0,0,0,0,0
GUADELOUPE,1.4,0,0,0,0
BERMUDA,0,0,0,0,0
SINT MAARTEN (DUTCH PART),0,0,0,0,0
KEP. VALLIS & FUTUNA,0,0,0,0,0
SAINT LUCIA,0,0,0,0,0
FALKLAND (MALVINAS),0.2,0,0,0,0
HEARD ISLAND AND MCDONALD ISLAND,0,0,0,0,0
TUVALU,0,7.5,0,0,0
CURACAO,0,0,0,0,0
SUDAN SELATAN,0,0,0,0.1,0
ALAND ISLANDS,0,0,0,0,0
,0,0,0,0,0